ofs,nom,coefficient
5427,Féchy,64.0
5483,Ferreyres,76.0
5428,Gimel,73.0
5484,Gollion,74.0
5485,Grancy,70.0
5656,Hautemorges,68.0
5474,La Chaux (Cossonay),76.0
5498,La Sarraz,70.0
5637,Lavigny,73.0
5486,L'Isle,75.0
5638,Lonay,55.0
5639,Lully (VD),58.0
5640,Lussy-sur-Morges,61.5
5488,Mauraz,75.0
5490,Moiry,76.0
5431,Mollens (VD),74.0
5491,Mont-la-Ville,76.0
5492,Montricher,64.0
5642,Morges,67.0
5493,Orny,73.0
5497,Pompaples,66.0
5643,Préverenges,65.0
5645,Romanel-sur-Morges,56.0
5435,Saint-Livres,69.0
5436,Saint-Oyens,77.0
5646,Saint-Prex,59.0
5437,Saubraz,77.0
5499,Senarclens,68.5
5649,Tolochenaz,64.0
5650,Vaux-sur-Morges,56.0
5652,Villars-sous-Yens,74.0
5653,Vufflens-le-Château,60.5
5654,Vullierens,76.0
5655,Yens,68.0
5701,Arnex-sur-Nyon,66.0
5702,Arzier-Le Muids,64.0
5703,Bassins,72.5
5704,Begnins,62.5
5705,Bogis-Bossey,70.0
5706,Borex,57.0
5852,Bursinel,62.0
5853,Bursins,71.0
5854,Burtigny,75.0
5707,Chavannes-de-Bogis,58.0
5708,Chavannes-des-Bois,66.0
5709,Chéserex,59.0
5710,Coinsins,49.0
5711,Commugny,58.0
5712,Coppet,57.0
5713,Crans (VD),59.0
5714,Crassier,65.0
5715,Duillier,66.0
5855,Dully,53.0
5856,Essertines-sur-Rolle,66.5
5716,Eysins,59.5
5717,Founex,57.0
5718,Genolier,52.0
5857,Gilly,62.5
5719,Gingins,60.0
5720,Givrins,68.5
5721,Gland,61.0
5722,Grens,60.0
5726,La Rippe,63.5
5731,Le Vaud,69.0
5429,Longirod,77.5
5858,Luins,58.5
5430,Marchissy,77.5
5723,Mies,54.0
5859,Mont-sur-Rolle,62.0
5724,Nyon,61.0
5860,Perroy,60.5
5725,Prangins,57.0
5861,Rolle,59.5
5727,Saint-Cergue,66.0
5434,Saint-George,69.5
5728,Signy-Avenex,58.0
5729,Tannay,60.5
5862,Tartegnin,79.0
5730,Trélex,57.0
5732,Vich,63.0
5863,Vinzel,65.0
5624,Bussigny,62.5
5627,Chavannes-près-Renens,77.5
5583,Crissier,63.5
5635,Ecublens (VD),62.5
5589,Prilly,72.5
5591,Renens (VD),77.0
5648,Saint-Sulpice (VD),55.0
5651,Villars-Sainte-Croix,60.5
5892,Blonay - Saint-Légier,67.5
5882,Chardonne,68.0
5841,Château-d'Oex,81.5
5883,Corseaux,67.5
5884,Corsier-sur-Vevey,64.5
5885,Jongny,69.5
5889,La Tour-de-Peilz,64.0
5886,Montreux,65.0
5842,Rossinière,81.0
5843,Rougemont,79.0
5890,Vevey,74.5
5891,Veytaux,65.0
