canton,nom_clean,type,lits,lat,lon,ofs,commune,geo_source
Genève,Foyer du Vallon,EMS,60.0,46.1958062316502,6.185086015075742,6612,Chêne-Bougeries,SITG
Genève,Résidence La Vendée,EMS,65.0,46.189479832487834,6.12218847990351,6628,Lancy,SITG
Genève,Villa Mandement,EMS,30.0,46.2120808969709,6.037163398851276,6638,Satigny,SITG
Genève,Maison de Vessy,EMS,20.0,46.178349616338885,6.16082659211623,6645,Veyrier,SITG
Fribourg,Home médicalisé de la Sarine,EMS,110.0,46.79454803466797,7.130764007568359,2228,Villars-sur-Glâne,geo.admin
Fribourg,EMS La Providence,EMS,92.0,46.80414679990187,7.159704558847937,2196,Fribourg,geo.admin
Fribourg,Résidence des Chênes,EMS,70.0,46.811668395996094,7.178083896636963,2196,Fribourg,geo.admin
Fribourg,"Les Bonnesfontaines, Résidence bourgeoisiale",EMS,87.0,46.80414679990187,7.159704558847937,2196,Fribourg,geo.admin
Fribourg,Foyer Rose d’Automne,EMS,32.0,46.79005813598633,7.1098551750183105,2228,Villars-sur-Glâne,geo.admin
Fribourg,Résidence Les Martinets,EMS,100.0,46.79107666015625,7.1360650062561035,2228,Villars-sur-Glâne,geo.admin
Fribourg,Résidence Les Epinettes,EMS,52.0,46.77875518798828,7.156270980834961,2206,Marly,geo.admin
Fribourg,Résidence Saint-Martin,EMS,102.0,46.75235748291016,7.034700870513916,2186,Cottens (FR),geo.admin
Fribourg,Home du Gibloux,EMS,74.0,46.721168518066406,7.060734272003174,2236,Gibloux,geo.admin
Fribourg,Résidence Le Manoir,EMS,87.0,46.812522888183594,7.12816858291626,2197,Givisiez,geo.admin
Fribourg,Villa Beausite,EMS,80.0,46.80574417114258,7.163895130157471,2196,Fribourg,geo.admin
Fribourg,Foyer Les Peupliers,EMS,17.0,46.74608612060547,7.171676158905029,2220,Le Mouret,geo.admin
Fribourg,Pflegeheim Maggenberg,EMS,90.0,46.810184478759766,7.212742328643799,2306,Tafers,geo.admin
Fribourg,Pflegeheim Aergera,EMS,34.0,46.76081085205078,7.209704875946045,2294,Giffers,geo.admin
Fribourg,Pflegeheim Bachmatte,EMS,45.0,46.74118423461914,7.283893585205078,2299,Plaffeien,geo.admin
Fribourg,Alters- und Pflegeheim St. Martin,EMS,46.0,46.82422637939453,7.266120910644531,2306,Tafers,geo.admin
Fribourg,Stiftung St. Wolfgang,EMS,160.0,46.8345947265625,7.1868791580200195,2293,Düdingen,geo.admin
Fribourg,EMS d’Humilimont,EMS,33.0,46.65767288208008,7.062835693359375,2140,Marsens,geo.admin
Fribourg,Foyers de la Ville de Bulle,EMS,132.0,46.62684631347656,7.049800872802734,2125,Bulle,geo.admin
Fribourg,Home Vallée de la Jogne,EMS,48.0,46.62274932861328,7.157085418701172,2163,Val-de-Charmey,geo.admin
Fribourg,Foyer La Rose des Vents,EMS,44.0,46.60941696166992,7.136488437652588,2124,Broc,geo.admin
