ofs,nom,canton,district,revenu_median_est,part_haut_revenu,nb_contribuables,coefficient,fortune_moy_chf,revenu_norm,coeff_norm,indice_pouvoir_achat
2284,Mont-Vully,Fribourg,See,62868.0,24.5,2555.0,58.0,,50.96061057987543,38.23529411764706,56.4
5720,Givrins,Vaud,Nyon,73090.0,36.8,503.0,68.5,601453.0,73.37924379331521,60.810810810810814,56.3
5456,Cudrefin,Vaud,Broye-Vully,61359.0,23.3,1023.0,59.0,149121.0,47.65110974646899,35.13513513513514,56.3
5501,Sullens,Vaud,Gros-de-Vaud,66867.0,25.0,603.0,64.0,264755.0,59.73111676462848,48.64864864864865,55.5
5863,Vinzel,Vaud,Nyon,68104.0,33.3,168.0,65.0,601453.0,62.444074041582596,51.35135135135135,55.5
5646,Saint-Prex,Vaud,Morges,60549.0,25.7,2812.0,59.0,471789.0,45.87463812615142,35.13513513513514,55.4
5621,Aclens,Vaud,Morges,61608.0,27.5,295.0,60.0,471789.0,48.197210281603645,37.83783783783784,55.2
5613,Bourg-en-Lavaux,Vaud,Lavaux-Oron,64663.0,30.2,2857.0,62.5,563599.0,54.897359417492765,44.5945945945946,55.2
5650,Vaux-sur-Morges,Vaud,Morges,56667.0,33.3,102.0,56.0,471789.0,37.360733397666465,27.027027027027028,55.2
2194,Ferpicloz,Fribourg,La Sarine,59678.0,20.9,148.0,55.0,,43.96438284060005,33.82352941176471,55.1
5633,Echandens,Vaud,Morges,62188.0,26.6,1369.0,60.5,471789.0,49.46925168874463,39.189189189189186,55.1
5590,Pully,Vaud,Lavaux-Oron,62708.0,27.5,9790.0,61.0,563599.0,50.60970260549171,40.54054054054054,55.0
5860,Perroy,Vaud,Nyon,61650.0,26.0,773.0,60.5,601453.0,48.28932362487938,39.189189189189186,54.6
5909,Cheseaux-Noréaz,Vaud,Jura-Nord vaudois,69576.0,35.5,375.0,67.0,180436.0,65.6724274059128,56.75675675675676,54.5
5715,Duillier,Vaud,Nyon,68308.0,30.8,561.0,66.0,601453.0,62.89148170892184,54.054054054054056,54.4
5472,Bournens,Vaud,Gros-de-Vaud,66797.0,29.8,262.0,65.0,264755.0,59.5775945258356,51.35135135135135,54.1
5704,Begnins,Vaud,Nyon,63637.0,27.6,952.0,62.5,601453.0,52.64716203175717,44.5945945945946,54.0
2008,Châtillon (FR),Fribourg,La Broye,65296.0,25.3,285.0,65.0,,56.28563909114834,48.529411764705884,53.9
2266,Kleinbösingen,Fribourg,See,71233.0,30.0,370.0,75.0,,69.30651811562419,63.23529411764706,53.0
5631,Denens,Vaud,Morges,63052.0,32.4,389.0,63.0,471789.0,51.3641547504167,45.94594594594595,52.7
5622,Bremblens,Vaud,Morges,69250.0,33.3,309.0,68.0,471789.0,64.95745240810598,59.45945945945946,52.7
2043,Sévaz,Fribourg,La Broye,54168.0,14.8,189.0,50.0,,31.879989472760766,26.47058823529412,52.7
5701,Arnex-sur-Nyon,Vaud,Nyon,66667.0,34.3,108.0,66.0,601453.0,59.29248179664883,54.054054054054056,52.6
5503,Vufflens-la-Ville,Vaud,Gros-de-Vaud,65093.0,30.9,695.0,65.0,264755.0,55.84042459864901,51.35135135135135,52.2
5476,Chevilly,Vaud,Morges,70486.0,30.5,177.0,70.0,471789.0,67.66821651022019,64.86486486486487,51.4
6614,Choulex,Genève,Genève,67230.0,32.4,556.0,40.0,,60.52723923151153,57.692307692307686,51.4
2183,Corminboeuf,Fribourg,La Sarine,69668.0,31.4,1530.0,75.0,,65.87419949118343,63.23529411764706,51.3
5426,Bougy-Villars,Vaud,Morges,60466.0,25.8,244.0,62.0,471789.0,45.692604614439865,43.24324324324324,51.2
6637,Russin,Genève,Genève,65117.0,30.0,240.0,39.0,,55.89306079480656,53.84615384615385,51.0
5859,Mont-sur-Rolle,Vaud,Nyon,59978.0,28.4,1336.0,62.0,601453.0,44.622335292569524,43.24324324324324,50.7
5721,Gland,Vaud,Nyon,58504.0,23.4,6785.0,61.0,601453.0,41.38959557855952,40.54054054054054,50.4
5634,Echichens,Vaud,Morges,64555.0,29.8,1645.0,66.0,471789.0,54.66049653478375,54.054054054054056,50.3
5904,Chamblon,Vaud,Jura-Nord vaudois,64261.0,25.1,315.0,66.0,180436.0,54.01570313185368,54.054054054054056,50.0
5883,Corseaux,Vaud,Riviera-Pays-d'Enhaut,66011.0,30.1,1235.0,67.5,337178.0,57.853759101675585,58.108108108108105,49.9
5714,Crassier,Vaud,Nyon,62838.0,32.5,570.0,65.0,601453.0,50.894815334678476,51.35135135135135,49.8
5724,Nyon,Vaud,Nyon,57968.0,22.6,11069.0,61.0,601453.0,40.214053864374065,40.54054054054054,49.8
5628,Chigny,Vaud,Morges,58855.0,30.8,185.0,62.0,471789.0,42.1593999473638,43.24324324324324,49.5
5885,Jongny,Vaud,Riviera-Pays-d'Enhaut,68106.0,30.1,965.0,69.5,337178.0,62.448460391262394,63.51351351351351,49.5
5861,Rolle,Vaud,Nyon,55535.0,23.8,2896.0,59.5,601453.0,34.878059478901655,36.486486486486484,49.2
5560,Grandevent,Vaud,Jura-Nord vaudois,69500.0,28.7,129.0,71.0,180436.0,65.50574611808054,67.56756756756756,49.0
5584,Epalinges,Vaud,Lausanne,61040.0,26.6,4770.0,64.5,253297.0,46.95148697254145,50.0,48.5
5705,Bogis-Bossey,Vaud,Nyon,67709.0,36.9,350.0,70.0,601453.0,61.5777699798228,64.86486486486487,48.4
2275,Murten,Fribourg,See,58203.0,19.7,5451.0,62.0,,40.729449951750155,44.11764705882353,48.3
5655,Yens,Vaud,Morges,65137.0,30.5,727.0,68.0,471789.0,55.93692429160453,59.45945945945946,48.2
2257,Cressier (FR),Fribourg,See,62012.0,22.2,523.0,68.0,,49.08325291692254,52.94117647058824,48.1
5609,Rivaz,Vaud,Lavaux-Oron,57144.0,23.2,190.0,62.0,563599.0,38.40687779629792,43.24324324324324,47.6
6634,Pregny-Chambésy,Genève,Genève,49718.0,27.0,1298.0,32.0,,22.120361435213614,26.923076923076923,47.6
5731,Le Vaud,Vaud,Nyon,65700.0,32.3,691.0,69.0,601453.0,57.17168172646724,62.16216216216216,47.5
6626,Jussy,Genève,Genève,65278.0,31.1,550.0,41.0,,56.246161944030185,61.53846153846154,47.4
6612,Chêne-Bougeries,Genève,Genève,49483.0,24.0,5947.0,32.0,,21.604965347837528,26.923076923076923,47.3
5624,Bussigny,Vaud,Ouest lausannois,57189.0,18.5,5276.0,62.5,188994.0,38.50557066409334,44.5945945945946,47.0
5632,Denges,Vaud,Morges,56571.0,25.1,880.0,62.0,471789.0,37.150188613036235,43.24324324324324,47.0
5529,Oulens-sous-Echallens,Vaud,Gros-de-Vaud,67614.0,32.1,321.0,71.0,264755.0,61.369418370032456,67.56756756756756,46.9
5492,Montricher,Vaud,Morges,58731.0,22.6,540.0,64.0,471789.0,41.88744626721642,48.64864864864865,46.6
5922,Montagny-près-Yverdon,Vaud,Jura-Nord vaudois,59135.0,21.7,428.0,64.5,180436.0,42.77348890253531,50.0,46.4
5643,Préverenges,Vaud,Morges,59778.0,23.1,2618.0,65.0,471789.0,44.18370032458988,51.35135135135135,46.4
6633,Plan-les-Ouates,Genève,Genève,57091.0,25.1,6104.0,37.0,,38.29063952978331,46.15384615384615,46.1
5553,Champagne,Vaud,Jura-Nord vaudois,59135.0,20.8,587.0,65.0,180436.0,42.77348890253531,51.35135135135135,45.7
