ofs,nom,district,dist_ems_km,pop_totale,pop_80plus,part_80plus,indice_pouvoir_achat,prix_m2_appart,prix_fiabilite,lits_pour_100_district,demande_score,tension_score,pouvoir_achat_score,prix_bas_score
5654,Vullierens,Morges,2.38,547.0,21.0,3.8,31.3,9485.0,indicative (1-4),8.8,32.5,80.2,31.3,74.4
5683,Prévonloup,Broye-Vully,1.84,230.0,12.0,5.2,34.1,8077.0,estimé (voisinage),17.0,44.4,37.7,34.1,80.5
5688,Syens,Broye-Vully,2.78,151.0,10.0,6.6,39.5,5865.0,estimé (voisinage),17.0,56.4,39.8,39.5,90.1
5727,Saint-Cergue,Nyon,10.2,3009.0,104.0,3.5,40.6,6529.0,indicative (1-4),11.0,29.9,86.2,40.6,87.3
5750,Les Clées,Jura-Nord vaudois,5.33,193.0,10.0,5.2,22.8,6832.0,estimé (voisinage),17.0,44.4,45.4,22.8,85.9
5813,Chevroux,Broye-Vully,2.6,494.0,21.0,4.3,34.1,7882.0,indicative (1-4),17.0,36.8,39.4,34.1,81.3
6619,Corsier (GE),Genève,1.76,2313.0,121.0,5.2,64.4,,,12.4,44.4,60.7,64.4,
6626,Jussy,Genève,2.69,1223.0,81.0,6.6,47.4,,,12.4,56.4,62.8,47.4,
2097,Rue,La Glâne,3.42,1618.0,52.0,3.2,36.4,,,20.2,27.4,25.1,36.4,
2336,Semsales,La Veveyse,3.54,1568.0,55.0,3.5,29.6,,,19.6,29.9,28.4,29.6,
5410,Ormont-Dessous,Aigle,6.41,1242.0,58.0,4.7,12.7,6123.0,indicative (1-4),23.7,40.2,14.0,12.7,89.0
5411,Ormont-Dessus,Aigle,0.85,1433.0,126.0,8.8,20.5,7951.0,indicative (1-4),23.7,75.2,1.9,20.5,81.0
5436,Saint-Oyens,Morges,3.38,457.0,14.0,3.1,42.7,8120.0,annonces (surface estimée),8.8,26.5,82.4,42.7,80.3
5583,Crissier,Ouest lausannois,1.34,10676.0,383.0,3.6,36.6,10423.0,indicative (1-4),18.1,30.8,31.1,36.6,70.3
5649,Tolochenaz,Morges,3.5,1934.0,89.0,4.6,43.8,11185.0,annonces (surface estimée),8.8,39.3,82.6,43.8,66.9
5749,Chavornay,Jura-Nord vaudois,3.47,5440.0,172.0,3.2,33.2,4146.0,indicative (1-4),17.0,27.4,41.3,33.2,97.6
5819,Henniez,Broye-Vully,2.28,469.0,16.0,3.4,26.5,5949.0,estimé (voisinage),17.0,29.1,38.7,26.5,89.8
5903,Bioley-Magnoux,Jura-Nord vaudois,4.25,257.0,13.0,5.1,27.0,6551.0,estimé (voisinage),17.0,43.6,43.0,27.0,87.2
5909,Cheseaux-Noréaz,Jura-Nord vaudois,3.17,736.0,48.0,6.5,54.5,10011.0,indicative (1-4),17.0,55.6,40.6,54.5,72.1
5928,Rovray,Jura-Nord vaudois,1.41,194.0,5.0,2.6,44.5,7331.0,estimé (voisinage),17.0,22.2,36.8,44.5,83.8
6602,Anières,Genève,2.89,2563.0,117.0,4.6,45.2,,,12.4,39.3,63.2,45.2,
2008,Châtillon (FR),La Broye,1.79,528.0,10.0,1.9,53.9,,,14.5,16.2,50.2,53.9,
2043,Sévaz,La Broye,1.53,318.0,11.0,3.5,52.7,,,14.5,29.9,49.6,52.7,
2338,La Verrerie,La Veveyse,1.12,1350.0,48.0,3.6,27.7,,,19.6,30.8,23.1,27.7,
2022,Gletterens,La Broye,1.1,1161.0,41.0,3.5,44.6,,,14.5,29.9,48.7,44.6,
2096,Romont (FR),La Glâne,1.24,6124.0,270.0,4.4,17.7,,,20.2,37.6,20.3,17.7,
2236,Gibloux,La Sarine,0.15,8393.0,250.0,3.0,33.0,,,19.1,25.6,23.5,33.0,
2258,Fräschels,See,2.93,445.0,15.0,3.4,45.4,,,15.1,29.1,49.7,45.4,
2323,Bossonnens,La Veveyse,1.93,1593.0,46.0,2.9,25.3,,,19.6,24.8,24.9,25.3,
5474,La Chaux (Cossonay),Morges,2.27,432.0,21.0,4.9,37.1,6353.0,estimé (voisinage),8.8,41.9,80.0,37.1,88.0
5487,Lussery-Villars,Gros-de-Vaud,2.5,470.0,18.0,3.8,34.8,6353.0,estimé (voisinage),14.0,32.5,54.3,34.8,88.0
5540,Montilliez,Gros-de-Vaud,3.24,1872.0,65.0,3.5,39.2,8750.0,estimé (voisinage),14.0,29.9,55.9,39.2,77.6
5635,Ecublens (VD),Ouest lausannois,0.33,13364.0,667.0,5.0,39.1,11420.0,indicative (1-4),18.1,42.7,28.9,39.1,65.9
5673,Hermenches,Broye-Vully,4.64,373.0,17.0,4.6,23.0,7118.0,estimé (voisinage),17.0,39.3,43.9,23.0,84.7
5703,Bassins,Nyon,9.31,1483.0,55.0,3.7,42.8,10593.0,indicative (1-4),11.0,31.6,84.3,42.8,69.5
5762,Sergey,Jura-Nord vaudois,4.44,133.0,5.0,3.8,31.1,6832.0,estimé (voisinage),17.0,32.5,43.4,31.1,85.9
5902,Belmont-sur-Yverdon,Jura-Nord vaudois,4.68,445.0,16.0,3.6,37.5,7337.0,indicative (1-4),17.0,30.8,43.9,37.5,83.7
5939,Yvonand,Jura-Nord vaudois,1.13,3524.0,215.0,6.1,26.0,7331.0,annonces (surface estimée),17.0,52.1,36.2,26.0,83.8
