ofs,nom,district,dist_ems_km,pop_totale,pop_80plus,part_80plus,indice_pouvoir_achat,prix_m2_appart,prix_fiabilite,lits_pour_100_district,demande_score,tension_score,pouvoir_achat_score,prix_bas_score
5621,Aclens,Morges,1.91,585.0,20.0,3.4,55.2,9052.0,estimé (voisinage),8.8,29.1,79.2,55.2,76.2
5669,Curtilles,Broye-Vully,1.06,308.0,9.0,2.9,27.1,5634.0,indicative (1-4),17.0,24.8,36.0,27.1,91.2
5710,Coinsins,Nyon,2.56,519.0,24.0,4.6,79.4,10903.0,estimé (voisinage),11.0,39.3,69.5,79.4,68.2
5711,Commugny,Nyon,4.35,2973.0,165.0,5.5,61.6,11477.0,indicative (1-4),11.0,47.0,73.4,61.6,65.7
5721,Gland,Nyon,1.44,13987.0,490.0,3.5,50.4,9727.0,solide (5+),11.0,29.9,67.1,50.4,73.3
5760,Rances,Jura-Nord vaudois,5.55,509.0,23.0,4.5,26.2,4824.0,annonces (surface estimée),17.0,38.5,45.8,26.2,94.7
5851,Allaman,Morges,6.06,430.0,18.0,4.2,41.4,16036.0,estimé (voisinage),8.8,35.9,88.2,41.4,45.8
5890,Vevey,Riviera-Pays-d'Enhaut,1.5,20142.0,982.0,4.9,16.9,9939.0,solide (5+),17.4,41.9,35.0,16.9,72.4
6643,Vernier,Genève,1.03,37837.0,1815.0,4.8,4.9,,,12.4,41.0,59.1,4.9,
2148,Riaz,La Gruyère,1.81,2932.0,111.0,3.8,42.3,,,20.0,32.5,22.6,42.3,
2162,Bas-Intyamon,La Gruyère,3.58,1726.0,57.0,3.3,29.1,,,20.0,28.2,26.4,29.1,
2216,Pierrafortscha,La Sarine,1.88,150.0,8.0,5.3,26.1,,,19.1,45.3,27.3,26.1,
2257,Cressier (FR),See,3.11,1109.0,35.0,3.2,48.1,,,15.1,27.4,50.1,48.1,
2292,Brünisried,Sense,1.89,724.0,22.0,3.0,30.2,,,14.4,25.6,50.9,30.2,
5403,Chessel,Aigle,3.9,527.0,23.0,4.4,32.4,6701.0,estimé (voisinage),23.7,37.6,8.5,32.4,86.5
5485,Grancy,Morges,1.53,538.0,22.0,4.1,45.4,9052.0,estimé (voisinage),8.8,35.0,78.3,45.4,76.2
5551,Bonvillars,Jura-Nord vaudois,2.68,517.0,22.0,4.3,45.1,7905.0,indicative (1-4),17.0,36.8,39.6,45.1,81.2
5561,Grandson,Jura-Nord vaudois,3.49,3390.0,151.0,4.5,31.7,7923.0,solide (5+),17.0,38.5,41.3,31.7,81.2
