ofs,nom,annee,pop_totale,pop_65plus,pop_80plus,part_65plus,part_80plus
6642,Vandoeuvres,2024,3030,517,146,17.1,4.8
2183,Corminboeuf,2024,3029,510,102,16.8,3.4
5727,Saint-Cergue,2024,3009,511,104,17.0,3.5
5633,Echandens,2024,2999,630,216,21.0,7.2
5816,Corcelles-près-Payerne,2024,2982,431,117,14.5,3.9
5607,Puidoux,2024,2974,436,101,14.7,3.4
5711,Commugny,2024,2973,490,165,16.5,5.5
5702,Arzier-Le Muids,2024,2968,448,97,15.1,3.3
5636,Etoy,2024,2962,469,151,15.8,5.1
2148,Riaz,2024,2932,472,111,16.1,3.8
2211,Neyruz (FR),2024,2869,411,97,14.3,3.4
6622,Genthod,2024,2861,575,166,20.1,5.8
5693,Montanaire,2024,2860,470,112,16.4,3.9
2124,Broc,2024,2848,532,132,18.7,4.6
5516,Cugy (VD),2024,2787,458,143,16.4,5.1
5859,Mont-sur-Rolle,2024,2752,472,136,17.2,4.9
5638,Lonay,2024,2734,612,260,22.4,9.5
2163,Val-de-Charmey,2024,2729,701,186,25.7,6.8
5523,Froideville,2024,2729,420,96,15.4,3.5
2233,Hauterive (FR),2024,2694,423,100,15.7,3.7
2099,Siviriez,2024,2675,409,101,15.3,3.8
6636,Puplinge,2024,2628,515,157,19.6,6.0
5498,La Sarraz,2024,2615,433,114,16.6,4.4
2160,Vuadens,2024,2579,381,97,14.8,3.8
6602,Anières,2024,2563,481,117,18.8,4.6
6605,Bardonnex,2024,2545,508,136,20.0,5.3
2055,Cheyres-Châbles,2024,2487,497,101,20.0,4.1
2237,Prez,2024,2465,361,83,14.6,3.4
5428,Gimel,2024,2457,423,114,17.2,4.6
5713,Crans (VD),2024,2445,433,140,17.7,5.7
2308,Ueberstorf,2024,2433,546,143,22.4,5.9
2238,Bois-d'Amont,2024,2422,383,97,15.8,4.0
2117,Villaz,2024,2409,405,75,16.8,3.1
2272,Misery-Courtion,2024,2404,321,72,13.4,3.0
2113,Vuisternens-devant-Romont,2024,2383,430,115,18.0,4.8
2135,Gruyères,2024,2339,346,87,14.8,3.7
5883,Corseaux,2024,2320,616,211,26.6,9.1
6619,Corsier (GE),2024,2313,421,121,18.2,5.2
5601,Chexbres,2024,2261,518,232,22.9,10.3
5799,Servion,2024,2228,373,90,16.7,4.0
2234,La Brillaz,2024,2208,341,79,15.4,3.6
5723,Mies,2024,2180,365,130,16.7,6.0
2140,Marsens,2024,2130,264,65,12.4,3.1
5604,Forel (Lavaux),2024,2087,380,96,18.2,4.6
6629,Meinier,2024,2069,442,153,21.4,7.4
2122,Pont-en-Ogoz,2024,2038,339,81,16.6,4.0
5704,Begnins,2024,2035,420,172,20.6,8.5
2041,Saint-Aubin (FR),2024,2030,290,75,14.3,3.7
2011,Cugy (FR),2024,2030,307,86,15.1,4.2
5718,Genolier,2024,2012,373,109,18.5,5.4
5413,Roche (VD),2024,1994,283,69,14.2,3.5
2149,La Roche,2024,1959,314,73,16.0,3.7
2174,Avry,2024,1949,319,76,16.4,3.9
5496,Penthaz,2024,1945,278,78,14.3,4.0
5649,Tolochenaz,2024,1934,314,89,16.2,4.6
5885,Jongny,2024,1928,351,88,18.2,4.6
2208,Matran,2024,1906,292,57,15.3,3.0
5456,Cudrefin,2024,1885,310,81,16.4,4.3
5540,Montilliez,2024,1872,278,65,14.9,3.5
5632,Denges,2024,1830,231,52,12.6,2.8
6620,Dardagny,2024,1828,350,109,19.1,6.0
5716,Eysins,2024,1774,241,78,13.6,4.4
2121,Haut-Intyamon,2024,1774,344,89,19.4,5.0
5729,Tannay,2024,1746,321,97,18.4,5.6
6603,Avully,2024,1746,315,70,18.0,4.0
2162,Bas-Intyamon,2024,1726,248,57,14.4,3.3
5511,Assens,2024,1717,257,64,15.0,3.7
2294,Giffers,2024,1703,337,87,19.8,5.1
5425,Bière,2024,1669,296,90,17.7,5.4
6615,Collex-Bossy,2024,1666,289,85,17.3,5.1
6611,Chancy,2024,1664,211,39,12.7,2.3
2226,Treyvaux,2024,1642,272,77,16.6,4.7
2097,Rue,2024,1618,243,52,15.0,3.2
2323,Bossonnens,2024,1593,203,46,12.7,2.9
5860,Perroy,2024,1584,262,67,16.5,4.2
5804,Jorat-Menthue,2024,1574,273,74,17.3,4.7
2050,Les Montets,2024,1572,237,53,15.1,3.4
2336,Semsales,2024,1568,269,55,17.2,3.5
2114,Villorsonnens,2024,1546,257,72,16.6,4.7
5871,L'Abbaye,2024,1541,396,88,25.7,5.7
2186,Cottens (FR),2024,1529,289,80,18.9,5.2
5405,Gryon,2024,1519,338,84,22.3,5.5
5588,Paudex,2024,1509,320,99,21.2,6.6
5655,Yens,2024,1498,263,68,17.6,4.5
5703,Bassins,2024,1483,189,55,12.7,3.7
5585,Jouxtens-Mézery,2024,1478,349,102,23.6,6.9
2152,Sâles,2024,1467,226,50,15.4,3.4
2235,La Sonnaz,2024,1458,170,37,11.7,2.5
2250,Courgevaux,2024,1458,255,61,17.5,4.2
